"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","Hospital_Currently","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2023-01-01,104,5,8,0,54,35,1141,109,8,5,0,8
2023-01-02,137,9,9,0,58,39,1228,146,9,14,0,17
2023-01-03,117,2,5,0,58,38,1228,119,5,16,0,22
2023-01-04,99,4,9,0,58,38,1183,103,9,20,0,31
2023-01-05,98,3,13,0,62,40,1153,101,13,23,0,44
2023-01-06,92,4,12,1,67,42,1093,96,13,27,1,56
2023-01-07,74,2,2,0,53,38,1019,76,2,29,1,58
2023-01-08,84,7,8,0,57,40,1054,91,8,36,1,66
2023-01-09,112,4,4,0,54,39,1120,116,4,40,1,70
2023-01-10,83,2,5,0,48,35,1086,85,5,42,1,75
2023-01-11,76,2,4,0,48,33,1015,78,4,44,1,79
2023-01-12,82,5,6,0,45,32,992,87,6,49,1,85
2023-01-13,63,2,7,0,48,32,935,65,7,51,1,92
2023-01-14,50,1,4,0,47,32,869,51,4,52,1,96
2023-01-15,53,4,1,0,41,29,872,57,1,56,1,97
2023-01-16,81,5,5,0,43,30,917,86,5,61,1,102
2023-01-17,65,4,6,1,45,29,885,69,7,65,2,108
2023-01-18,61,2,3,0,40,28,858,63,3,67,2,111
2023-01-19,58,6,2,0,37,25,832,64,2,73,2,113
2023-01-20,52,2,4,0,34,23,793,54,4,75,2,117
2023-01-21,41,3,0,0,30,21,739,44,0,78,2,117
2023-01-22,37,3,1,0,26,20,750,40,1,81,2,118
2023-01-23,63,3,7,0,32,25,790,66,7,84,2,125
2023-01-24,40,4,3,0,31,24,740,44,3,88,2,128
2023-01-25,41,2,2,1,26,21,696,43,3,90,3,130
2023-01-26,46,5,2,0,20,16,699,51,2,95,3,132
2023-01-27,55,4,3,0,19,15,689,59,3,99,3,135
2023-01-28,28,1,2,0,20,17,636,29,2,100,3,137
2023-01-29,44,0,3,0,20,18,647,44,3,100,3,140
2023-01-30,75,2,3,0,22,19,703,77,3,102,3,143
2023-01-31,48,1,4,1,21,17,688,49,5,103,4,147
2023-02-01,61,8,1,0,21,17,698,69,1,111,4,148
2023-02-02,52,3,5,0,20,18,687,55,5,114,4,153
