"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","Hospital_Currently","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2023-01-01,104,3,8,0,55,35,1128,107,8,3,0,8
2023-01-02,137,1,9,0,59,39,1209,138,9,4,0,17
2023-01-03,115,0,5,0,59,38,1210,115,5,4,0,22
2023-01-04,99,1,9,0,58,37,1164,100,9,5,0,31
2023-01-05,98,2,13,0,62,39,1136,100,13,7,0,44
2023-01-06,92,2,12,1,68,42,1080,94,13,9,1,56
2023-01-07,74,1,2,0,54,38,1008,75,2,10,1,58
2023-01-08,84,3,8,0,58,40,1042,87,8,13,1,66
2023-01-09,112,0,4,0,55,39,1105,112,4,13,1,70
2023-01-10,83,1,5,0,49,35,1071,84,5,14,1,75
2023-01-11,75,1,4,0,49,33,1005,76,4,15,1,79
2023-01-12,82,3,6,0,46,32,983,85,6,18,1,85
2023-01-13,63,0,7,0,50,33,929,63,7,18,1,92
2023-01-14,50,0,4,0,49,33,866,50,4,18,1,96
2023-01-15,53,2,1,0,43,30,868,55,1,20,1,97
2023-01-16,80,2,5,0,45,31,909,82,5,22,1,102
2023-01-17,65,2,6,1,47,30,880,67,7,24,2,108
2023-01-18,61,2,3,0,42,29,855,63,3,26,2,111
2023-01-19,58,4,2,0,39,26,830,62,2,30,2,113
2023-01-20,52,0,4,0,36,24,792,52,4,30,2,117
2023-01-21,41,0,0,0,32,22,736,41,0,30,2,117
2023-01-22,37,1,1,0,28,21,745,38,1,31,2,118
2023-01-23,63,0,7,0,34,26,783,63,7,31,2,125
2023-01-24,39,1,3,0,33,25,735,40,3,32,2,128
2023-01-25,41,0,2,1,28,22,694,41,3,32,3,130
2023-01-26,46,2,2,0,22,17,697,48,2,34,3,132
2023-01-27,56,2,3,0,21,16,689,58,3,36,3,135
2023-01-28,28,1,2,0,22,18,641,29,2,37,3,137
2023-01-29,43,0,3,1,23,20,656,43,4,37,4,140
2023-01-30,75,1,3,0,25,21,712,76,3,38,4,143
2023-01-31,49,1,4,1,24,18,701,50,5,39,5,147
2023-02-01,61,5,1,0,23,18,708,66,1,44,5,148
2023-02-02,51,1,5,0,22,19,696,52,5,45,5,153
2023-02-03,55,0,4,0,22,19,692,55,4,45,5,157
2023-02-04,42,1,2,0,21,18,674,43,2,46,5,159
2023-02-05,46,0,2,0,20,17,696,46,2,46,5,161
2023-02-06,65,3,6,0,23,18,748,68,6,49,5,167
2023-02-07,61,0,4,0,21,15,746,61,4,49,5,171
2023-02-08,60,0,7,0,27,19,737,60,7,49,5,178
2023-02-09,75,1,4,0,29,21,760,76,4,50,5,182
2023-02-10,69,2,2,0,24,17,773,71,2,52,5,184
2023-02-11,66,1,3,0,22,14,765,67,3,53,5,187
2023-02-12,58,0,0,0,20,14,789,58,0,53,5,187
2023-02-13,99,2,3,0,18,15,862,101,3,55,5,190
2023-02-14,74,1,2,0,20,17,854,75,2,56,5,192
2023-02-15,76,0,9,0,26,21,854,76,9,56,5,201
2023-02-16,80,0,4,0,29,23,866,80,4,56,5,205
2023-02-17,93,2,1,0,27,21,885,95,1,58,5,206
2023-02-18,74,2,2,0,26,21,871,76,2,60,5,208
2023-02-19,75,2,9,1,31,23,907,77,10,62,6,217
2023-02-20,119,3,7,0,38,24,1002,122,7,65,6,224
2023-02-21,95,2,8,0,40,26,1001,97,8,67,6,232
2023-02-22,113,2,8,1,39,29,1024,115,9,69,7,240
2023-02-23,103,0,4,0,38,29,1052,103,4,69,7,244
2023-02-24,103,0,5,0,33,28,1070,103,5,69,7,249
2023-02-25,100,0,6,0,36,30,1067,100,6,69,7,255
2023-02-26,91,1,8,0,37,29,1111,92,8,70,7,263
2023-02-27,165,3,15,0,48,32,1235,168,15,73,7,278
2023-02-28,141,1,12,0,58,34,1271,142,12,74,7,290
2023-03-01,138,2,15,1,57,34,1263,140,16,76,8,305
2023-03-02,143,2,8,0,58,37,1281,145,8,78,8,313
2023-03-03,147,4,10,0,59,34,1292,151,10,82,8,323
2023-03-04,107,0,2,0,52,29,1262,107,2,82,8,325
2023-03-05,97,1,9,0,54,29,1286,98,9,83,8,334
2023-03-06,186,4,12,0,62,33,1428,190,12,87,8,346
2023-03-07,164,3,16,0,73,37,1424,167,16,90,8,362
2023-03-08,139,1,3,0,61,33,1408,140,3,91,8,365
2023-03-09,134,1,6,1,57,33,1370,135,7,92,9,371
2023-03-10,145,2,14,0,61,36,1371,147,14,94,9,385
2023-03-11,99,0,8,0,61,39,1299,99,8,94,9,393
2023-03-12,107,0,10,0,63,40,1342,107,10,94,9,403
2023-03-13,170,0,10,0,65,41,1457,170,10,94,9,413
2023-03-14,146,0,6,0,65,40,1435,146,6,94,9,419
2023-03-15,137,2,4,0,60,37,1421,139,4,96,9,423
2023-03-16,129,1,11,1,67,36,1384,130,12,97,10,434
2023-03-17,126,4,4,0,58,33,1360,130,4,101,10,438
2023-03-18,90,0,5,0,51,33,1297,90,5,101,10,443
2023-03-19,107,2,7,0,51,33,1336,109,7,103,10,450
2023-03-20,142,1,14,1,60,36,1415,143,15,104,11,464
2023-03-21,111,1,12,0,67,40,1364,112,12,105,11,476
2023-03-22,106,4,5,0,61,38,1331,110,5,109,11,481
2023-03-23,112,2,8,0,60,38,1276,114,8,111,11,489
2023-03-24,102,0,4,1,55,35,1229,102,5,111,12,493
2023-03-25,81,0,5,0,50,34,1166,81,5,111,12,498
2023-03-26,79,0,4,0,47,34,1182,79,4,111,12,502
2023-03-27,96,3,6,1,54,36,1241,99,7,114,13,508
2023-03-28,93,0,13,0,62,39,1191,93,13,114,13,521
2023-03-29,89,2,2,0,57,36,1151,91,2,116,13,523
2023-03-30,77,1,6,0,55,36,1113,78,6,117,13,529
2023-03-31,92,2,5,0,54,37,1098,94,5,119,13,534
2023-04-01,56,0,2,0,51,34,1025,56,2,119,13,536
2023-04-02,52,0,5,0,52,34,1030,52,5,119,13,541
2023-04-03,69,1,6,0,54,34,1067,70,6,120,13,547
