"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","Hospital_Currently","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2023-01-01,104,4,8,0,55,35,1129,108,8,4,0,8
2023-01-02,137,3,9,0,59,39,1212,140,9,7,0,17
2023-01-03,115,1,5,0,59,38,1213,116,5,8,0,22
2023-01-04,99,1,9,0,59,38,1166,100,9,9,0,31
2023-01-05,98,2,13,0,63,40,1137,100,13,11,0,44
2023-01-06,92,2,12,1,68,42,1078,94,13,13,1,56
2023-01-07,74,1,2,0,54,38,1005,75,2,14,1,58
2023-01-08,84,5,8,0,58,40,1041,89,8,19,1,66
2023-01-09,112,2,4,0,55,39,1106,114,4,21,1,70
2023-01-10,83,1,5,0,49,35,1072,84,5,22,1,75
2023-01-11,76,1,4,0,49,33,1007,77,4,23,1,79
2023-01-12,82,3,6,0,46,32,983,85,6,26,1,85
2023-01-13,63,0,7,0,50,33,927,63,7,26,1,92
2023-01-14,50,0,4,0,49,33,861,50,4,26,1,96
2023-01-15,53,3,1,0,43,30,864,56,1,29,1,97
2023-01-16,81,3,5,0,45,31,907,84,5,32,1,102
2023-01-17,65,3,6,1,47,30,877,68,7,35,2,108
2023-01-18,61,2,3,0,42,29,852,63,3,37,2,111
2023-01-19,58,4,2,0,39,26,827,62,2,41,2,113
2023-01-20,52,0,4,0,36,24,789,52,4,41,2,117
2023-01-21,41,1,0,0,32,22,734,42,0,42,2,117
2023-01-22,37,1,1,0,28,21,743,38,1,43,2,118
2023-01-23,63,0,7,0,34,26,781,63,7,43,2,125
2023-01-24,39,2,3,0,33,25,732,41,3,45,2,128
2023-01-25,41,0,2,1,28,22,689,41,3,45,3,130
2023-01-26,46,3,2,0,22,17,691,49,2,48,3,132
2023-01-27,56,2,3,0,21,16,681,58,3,50,3,135
2023-01-28,28,1,2,0,22,18,631,29,2,51,3,137
2023-01-29,43,0,3,0,22,19,645,43,3,51,3,140
2023-01-30,75,1,3,0,24,20,701,76,3,52,3,143
2023-01-31,48,1,4,1,23,18,687,49,5,53,4,147
2023-02-01,61,5,1,0,23,18,694,66,1,58,4,148
2023-02-02,51,1,5,0,22,19,682,52,5,59,4,153
2023-02-03,55,0,4,0,22,19,678,55,4,59,4,157
2023-02-04,42,1,2,0,21,18,660,43,2,60,4,159
2023-02-05,46,0,2,0,20,17,682,46,2,60,4,161
2023-02-06,65,3,6,0,23,18,734,68,6,63,4,167
2023-02-07,61,0,4,0,21,15,732,61,4,63,4,171
2023-02-08,60,0,7,0,27,19,722,60,7,63,4,178
2023-02-09,75,1,4,0,29,21,745,76,4,64,4,182
2023-02-10,69,2,2,0,24,17,758,71,2,66,4,184
2023-02-11,66,1,3,0,22,14,749,67,3,67,4,187
2023-02-12,58,0,0,0,20,14,773,58,0,67,4,187
2023-02-13,99,2,3,0,18,15,846,101,3,69,4,190
2023-02-14,74,1,2,0,20,17,838,75,2,70,4,192
2023-02-15,76,0,9,0,26,21,838,76,9,70,4,201
2023-02-16,80,0,4,0,29,23,850,80,4,70,4,205
2023-02-17,93,2,1,0,27,21,868,95,1,72,4,206
2023-02-18,74,2,2,0,26,21,854,76,2,74,4,208
2023-02-19,75,2,9,1,31,23,890,77,10,76,5,217
2023-02-20,121,3,7,0,38,24,987,124,7,79,5,224
2023-02-21,95,2,8,0,40,26,986,97,8,81,5,232
2023-02-22,113,2,8,1,39,29,1009,115,9,83,6,240
2023-02-23,103,0,4,0,38,29,1037,103,4,83,6,244
2023-02-24,103,0,5,0,33,28,1054,103,5,83,6,249
2023-02-25,101,0,6,0,36,30,1052,101,6,83,6,255
