"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2020-02-27,2,2,1,0,13,9,13,61,0,0,0,64,4,1,2,0,1
2020-02-28,4,0,0,1,14,10,14,65,0,0,0,68,4,1,2,1,1
2020-02-29,1,0,1,0,15,10,15,65,0,0,0,69,1,1,2,1,2
2020-03-01,7,1,2,0,17,11,17,72,0,0,1,76,8,2,3,1,4
2020-03-02,10,1,0,0,16,10,17,83,0,0,1,87,11,0,4,1,4
2020-03-03,8,0,2,0,18,10,19,90,0,0,1,95,8,2,4,1,6
2020-03-04,10,3,3,0,21,12,22,102,0,2,1,108,13,3,7,1,9
2020-03-05,11,1,1,1,21,14,24,111,0,2,1,119,12,2,8,2,10
2020-03-06,21,1,4,0,24,17,28,129,0,2,2,138,22,4,9,2,14
2020-03-07,7,3,3,0,26,17,31,137,0,3,1,146,10,3,12,2,17
2020-03-08,18,4,5,0,32,21,36,155,2,3,1,166,22,5,16,2,22
2020-03-09,27,5,6,2,38,22,44,180,2,3,1,196,32,8,21,4,28
2020-03-10,28,4,10,1,47,25,55,203,2,3,2,225,32,11,25,5,38
2020-03-11,44,5,9,0,54,26,64,239,4,3,2,268,49,9,30,5,47
2020-03-12,54,4,23,0,74,32,87,282,5,3,2,319,58,23,34,5,70
2020-03-13,76,4,13,0,84,35,100,351,5,4,2,397,80,13,38,5,83
2020-03-14,61,3,21,0,103,44,121,390,5,7,5,451,64,21,41,5,104
2020-03-15,69,8,28,1,127,51,150,438,7,7,6,522,77,29,49,6,132
2020-03-16,142,19,33,0,157,57,183,571,12,8,6,676,161,33,68,6,165
2020-03-17,145,12,35,0,185,60,218,655,14,8,9,815,157,35,80,6,200
2020-03-18,177,14,56,0,236,65,274,783,17,12,10,992,191,56,94,6,256
2020-03-19,261,24,66,2,296,70,342,992,25,12,12,1260,285,68,118,8,322
2020-03-20,240,25,83,1,368,71,426,1164,30,14,17,1503,265,84,143,9,405
