Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-09-23T10:50:13Z,2020-11-30,B.1.351,Beta,VOC,107,0
1,2021-09-23T10:50:13Z,2020-11-30,P.1,Gamma,VOC,107,0
1,2021-09-23T10:50:13Z,2020-11-30,B.1.617.2,Delta,VOC,107,0
1,2021-09-23T10:50:13Z,2020-11-30,B.1.620,"",VOI,107,0
1,2021-09-23T10:50:13Z,2020-11-30,B.1.621,Mu,VOI,107,0
1,2021-09-23T10:50:13Z,2020-11-30,C.37,Lambda,VOI,107,0
1,2021-09-23T10:50:13Z,2020-11-30,B.1.1.7,Alpha,"",107,1
1,2021-09-23T10:50:13Z,2020-11-30,B.1.525,Eta,"",107,0
1,2021-09-23T10:50:13Z,2020-11-30,B.1.617.1,Kappa,"",107,0
1,2021-09-23T10:50:13Z,2020-11-30,B.1.526,Iota,"",107,0
1,2021-09-23T10:50:13Z,2020-12-07,B.1.351,Beta,VOC,127,0
1,2021-09-23T10:50:13Z,2020-12-07,P.1,Gamma,VOC,127,0
1,2021-09-23T10:50:13Z,2020-12-07,B.1.617.2,Delta,VOC,127,0
1,2021-09-23T10:50:13Z,2020-12-07,B.1.620,"",VOI,127,0
1,2021-09-23T10:50:13Z,2020-12-07,B.1.621,Mu,VOI,127,0
1,2021-09-23T10:50:13Z,2020-12-07,C.37,Lambda,VOI,127,0
1,2021-09-23T10:50:13Z,2020-12-07,B.1.1.7,Alpha,"",127,1
1,2021-09-23T10:50:13Z,2020-12-07,B.1.525,Eta,"",127,0
1,2021-09-23T10:50:13Z,2020-12-07,B.1.617.1,Kappa,"",127,0
1,2021-09-23T10:50:13Z,2020-12-07,B.1.526,Iota,"",127,0
1,2021-09-23T10:50:13Z,2020-12-14,B.1.351,Beta,VOC,203,0
1,2021-09-23T10:50:13Z,2020-12-14,P.1,Gamma,VOC,203,0
1,2021-09-23T10:50:13Z,2020-12-14,B.1.617.2,Delta,VOC,203,0
1,2021-09-23T10:50:13Z,2020-12-14,B.1.620,"",VOI,203,0
1,2021-09-23T10:50:13Z,2020-12-14,B.1.621,Mu,VOI,203,0
1,2021-09-23T10:50:13Z,2020-12-14,C.37,Lambda,VOI,203,0
1,2021-09-23T10:50:13Z,2020-12-14,B.1.1.7,Alpha,"",203,1
1,2021-09-23T10:50:13Z,2020-12-14,B.1.525,Eta,"",203,0
1,2021-09-23T10:50:13Z,2020-12-14,B.1.617.1,Kappa,"",203,0
1,2021-09-23T10:50:13Z,2020-12-14,B.1.526,Iota,"",203,0
1,2021-09-23T10:50:13Z,2020-12-21,B.1.351,Beta,VOC,257,1
1,2021-09-23T10:50:13Z,2020-12-21,P.1,Gamma,VOC,257,0
1,2021-09-23T10:50:13Z,2020-12-21,B.1.617.2,Delta,VOC,257,0
1,2021-09-23T10:50:13Z,2020-12-21,B.1.620,"",VOI,257,0
1,2021-09-23T10:50:13Z,2020-12-21,B.1.621,Mu,VOI,257,0
1,2021-09-23T10:50:13Z,2020-12-21,C.37,Lambda,VOI,257,0
1,2021-09-23T10:50:13Z,2020-12-21,B.1.1.7,Alpha,"",257,5
1,2021-09-23T10:50:13Z,2020-12-21,B.1.525,Eta,"",257,0
1,2021-09-23T10:50:13Z,2020-12-21,B.1.617.1,Kappa,"",257,0
1,2021-09-23T10:50:13Z,2020-12-21,B.1.526,Iota,"",257,0
1,2021-09-23T10:50:13Z,2020-12-28,B.1.351,Beta,VOC,207,1
1,2021-09-23T10:50:13Z,2020-12-28,P.1,Gamma,VOC,207,0
1,2021-09-23T10:50:13Z,2020-12-28,B.1.617.2,Delta,VOC,207,0
1,2021-09-23T10:50:13Z,2020-12-28,B.1.620,"",VOI,207,0
1,2021-09-23T10:50:13Z,2020-12-28,B.1.621,Mu,VOI,207,0
1,2021-09-23T10:50:13Z,2020-12-28,C.37,Lambda,VOI,207,0
1,2021-09-23T10:50:13Z,2020-12-28,B.1.1.7,Alpha,"",207,9
1,2021-09-23T10:50:13Z,2020-12-28,B.1.525,Eta,"",207,0
1,2021-09-23T10:50:13Z,2020-12-28,B.1.617.1,Kappa,"",207,0
1,2021-09-23T10:50:13Z,2020-12-28,B.1.526,Iota,"",207,0
1,2021-09-23T10:50:13Z,2021-01-04,B.1.351,Beta,VOC,356,0
1,2021-09-23T10:50:13Z,2021-01-04,P.1,Gamma,VOC,356,0
1,2021-09-23T10:50:13Z,2021-01-04,B.1.617.2,Delta,VOC,356,0
1,2021-09-23T10:50:13Z,2021-01-04,B.1.620,"",VOI,356,0
1,2021-09-23T10:50:13Z,2021-01-04,B.1.621,Mu,VOI,356,0
1,2021-09-23T10:50:13Z,2021-01-04,C.37,Lambda,VOI,356,0
1,2021-09-23T10:50:13Z,2021-01-04,B.1.1.7,Alpha,"",356,45
1,2021-09-23T10:50:13Z,2021-01-04,B.1.525,Eta,"",356,0
1,2021-09-23T10:50:13Z,2021-01-04,B.1.617.1,Kappa,"",356,0
1,2021-09-23T10:50:13Z,2021-01-04,B.1.526,Iota,"",356,0
1,2021-09-23T10:50:13Z,2021-01-11,B.1.351,Beta,VOC,303,3
1,2021-09-23T10:50:13Z,2021-01-11,P.1,Gamma,VOC,303,0
1,2021-09-23T10:50:13Z,2021-01-11,B.1.617.2,Delta,VOC,303,0
1,2021-09-23T10:50:13Z,2021-01-11,B.1.620,"",VOI,303,0
1,2021-09-23T10:50:13Z,2021-01-11,B.1.621,Mu,VOI,303,0
1,2021-09-23T10:50:13Z,2021-01-11,C.37,Lambda,VOI,303,0
1,2021-09-23T10:50:13Z,2021-01-11,B.1.1.7,Alpha,"",303,60
1,2021-09-23T10:50:13Z,2021-01-11,B.1.525,Eta,"",303,0
1,2021-09-23T10:50:13Z,2021-01-11,B.1.617.1,Kappa,"",303,0
1,2021-09-23T10:50:13Z,2021-01-11,B.1.526,Iota,"",303,0
1,2021-09-23T10:50:13Z,2021-01-18,B.1.351,Beta,VOC,651,3
1,2021-09-23T10:50:13Z,2021-01-18,P.1,Gamma,VOC,651,0
1,2021-09-23T10:50:13Z,2021-01-18,B.1.617.2,Delta,VOC,651,0
1,2021-09-23T10:50:13Z,2021-01-18,B.1.620,"",VOI,651,0
1,2021-09-23T10:50:13Z,2021-01-18,B.1.621,Mu,VOI,651,0
1,2021-09-23T10:50:13Z,2021-01-18,C.37,Lambda,VOI,651,0
1,2021-09-23T10:50:13Z,2021-01-18,B.1.1.7,Alpha,"",651,158
1,2021-09-23T10:50:13Z,2021-01-18,B.1.525,Eta,"",651,0
1,2021-09-23T10:50:13Z,2021-01-18,B.1.617.1,Kappa,"",651,0
1,2021-09-23T10:50:13Z,2021-01-18,B.1.526,Iota,"",651,0
1,2021-09-23T10:50:13Z,2021-01-25,B.1.351,Beta,VOC,842,14
1,2021-09-23T10:50:13Z,2021-01-25,P.1,Gamma,VOC,842,1
