"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,480,2,507,"2020-11-03"
"<20",35,486,2,523,"2020-11-04"
"<20",35,494,2,531,"2020-11-05"
"<20",28,499,2,529,"2020-11-06"
"<20",28,501,2,531,"2020-11-07"
"<20",30,502,2,534,"2020-11-08"
"<20",32,507,2,541,"2020-11-09"
"<20",45,512,2,559,"2020-11-10"
"<20",46,520,2,568,"2020-11-11"
"<20",42,525,2,569,"2020-11-12"
"<20",43,535,2,580,"2020-11-13"
"<20",39,540,2,581,"2020-11-14"
"<20",45,541,2,588,"2020-11-15"
"<20",40,545,2,587,"2020-11-16"
"<20",37,547,2,586,"2020-11-17"
"<20",41,551,2,594,"2020-11-18"
"<20",40,554,3,597,"2020-11-19"
"<20",37,565,3,605,"2020-11-20"
"<20",34,568,3,605,"2020-11-21"
"<20",41,568,3,612,"2020-11-22"
"<20",33,575,3,611,"2020-11-23"
"<20",37,578,3,618,"2020-11-24"
"<20",35,581,3,619,"2020-11-25"
"<20",42,584,3,629,"2020-11-26"
"<20",37,586,3,626,"2020-11-27"
"<20",38,588,3,629,"2020-11-28"
"<20",35,589,3,627,"2020-11-29"
"<20",42,594,3,639,"2020-11-30"
"<20",35,597,3,635,"2020-12-01"
"<20",41,594,3,638,"2020-12-02"
"<20",34,601,3,638,"2020-12-03"
"<20",38,607,3,648,"2020-12-04"
"<20",40,612,3,655,"2020-12-05"
"<20",34,616,3,653,"2020-12-06"
"<20",37,621,3,661,"2020-12-07"
"<20",34,626,3,663,"2020-12-08"
"<20",39,629,3,671,"2020-12-09"
"<20",39,631,3,673,"2020-12-10"
"<20",38,635,3,676,"2020-12-11"
"<20",34,641,3,678,"2020-12-12"
"<20",35,645,3,683,"2020-12-13"
"<20",36,646,3,685,"2020-12-14"
"<20",41,649,3,693,"2020-12-15"
"<20",41,656,3,700,"2020-12-16"
"<20",41,660,3,704,"2020-12-17"
"<20",43,667,3,713,"2020-12-18"
"<20",39,668,3,710,"2020-12-19"
"<20",44,668,3,715,"2020-12-20"
"<20",45,674,3,722,"2020-12-21"
"<20",43,678,3,724,"2020-12-22"
"<20",48,684,3,735,"2020-12-23"
"<20",49,687,3,739,"2020-12-24"
"<20",48,688,3,739,"2020-12-25"
"<20",52,691,3,746,"2020-12-26"
"<20",48,692,3,743,"2020-12-27"
"<20",50,701,3,754,"2020-12-28"
"<20",47,703,3,753,"2020-12-29"
"<20",51,704,3,758,"2020-12-30"
"<20",52,709,3,764,"2020-12-31"
"<20",49,712,3,764,"2021-01-01"
"<20",50,714,3,767,"2021-01-02"
"<20",52,717,3,772,"2021-01-03"
"<20",50,724,3,777,"2021-01-04"
"<20",50,727,3,780,"2021-01-05"
"<20",51,727,4,782,"2021-01-06"
"<20",32,740,4,776,"2021-01-07"
"<20",28,743,4,775,"2021-01-08"
"<20",22,748,4,774,"2021-01-09"
"<20",20,752,4,776,"2021-01-10"
"<20",21,754,4,779,"2021-01-11"
"<20",23,758,4,785,"2021-01-12"
"<20",27,760,4,791,"2021-01-13"
"<20",27,762,4,793,"2021-01-14"
"<20",30,763,4,797,"2021-01-15"
"<20",28,763,4,795,"2021-01-16"
"<20",31,766,4,801,"2021-01-17"
"<20",27,768,4,799,"2021-01-18"
"<20",24,772,4,800,"2021-01-19"
"<20",23,781,4,808,"2021-01-20"
"<20",23,781,4,808,"2021-01-21"
"<20",25,783,4,812,"2021-01-22"
"<20",26,784,4,814,"2021-01-23"
"<20",21,787,4,812,"2021-01-24"
"<20",29,788,4,821,"2021-01-25"
"<20",29,791,4,824,"2021-01-26"
"<20",21,799,4,824,"2021-01-27"
"<20",25,801,4,830,"2021-01-28"
"<20",19,807,4,830,"2021-01-29"
"<20",21,809,4,834,"2021-01-30"
"<20",23,811,4,838,"2021-01-31"
"<20",22,813,4,839,"2021-02-01"
"<20",20,745,4,769,"2021-02-03"
"<20",21,749,4,774,"2021-02-04"
"<20",21,752,4,777,"2021-02-05"
"<20",20,756,4,780,"2021-02-06"
"<20",22,758,4,784,"2021-02-07"
"<20",25,760,4,789,"2021-02-08"
"<20",22,765,4,791,"2021-02-09"
"<20",20,768,4,792,"2021-02-10"
"<20",20,770,4,794,"2021-02-11"
"<20",18,771,4,793,"2021-02-12"
"<20",20,771,4,795,"2021-02-13"
"<20",23,774,4,801,"2021-02-14"
"<20",18,777,4,799,"2021-02-15"
"<20",21,778,4,803,"2021-02-16"
"<20",23,779,4,806,"2021-02-17"
"<20",23,783,4,810,"2021-02-18"
"<20",19,790,4,813,"2021-02-19"
"<20",14,793,4,811,"2021-02-20"
"<20",15,797,4,816,"2021-02-21"
"<20",26,806,4,836,"2021-02-22"
"<20",21,809,4,834,"2021-02-23"
"<20",17,815,4,836,"2021-02-24"
"<20",19,811,4,834,"2021-02-25"
"<20",21,811,4,836,"2021-02-26"
"<20",24,812,4,840,"2021-02-27"
"<20",22,813,4,839,"2021-02-28"
"<20",22,816,4,842,"2021-03-01"
"<20",17,822,4,843,"2021-03-02"
"<20",20,825,4,849,"2021-03-03"
"<20",20,829,4,853,"2021-03-04"
"<20",22,827,4,853,"2021-03-05"
